Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.81      0.10     0.10                             _init
 16.67      0.17     0.07        1    70.00   160.00  PmergeMe::sortVector()
 14.29      0.23     0.06 44739491     0.00     0.00  void __gnu_cxx::__alloc_traits<std::allocator<unsigned int>, unsigned int>::construct<unsigned int>(std::allocator<unsigned int>&, unsigned int*, unsigned int const&)
 11.90      0.28     0.05 44739492     0.00     0.00  std::__new_allocator<unsigned int>::construct(unsigned int*, unsigned int const&)
 11.90      0.33     0.05        1    50.00   160.00  PmergeMe::sortDeque()
  7.14      0.36     0.03        2    15.00    75.00  generateInsertionSequence(std::vector<unsigned int, std::allocator<unsigned int> >&)
  4.76      0.38     0.02 44739292     0.00     0.00  std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > >::size() const
  4.76      0.40     0.02 22369625     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator()
  2.38      0.41     0.01 89478992     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::operator[](unsigned long)
  2.38      0.42     0.01 44739392     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::push_back(unsigned int const&)
  0.00      0.42     0.00 89478887     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::size() const
  0.00      0.42     0.00 22369625     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator()
  0.00      0.42     0.00     1397     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_Deque_iterator(std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*> const&)
  0.00      0.42     0.00      625     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::base() const
  0.00      0.42     0.00      608     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.42     0.00      598     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::_S_buffer_size()
  0.00      0.42     0.00      586     0.00     0.00  unsigned int* std::__niter_base<unsigned int*>(unsigned int*)
  0.00      0.42     0.00      390     0.00     0.00  unsigned int* std::__miter_base<unsigned int*>(unsigned int*)
  0.00      0.42     0.00      352     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::__normal_iterator(unsigned int* const&)
  0.00      0.42     0.00      325     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator*() const
  0.00      0.42     0.00      268     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_get_Tp_allocator()
  0.00      0.42     0.00      262     0.00     0.00  std::__new_allocator<unsigned int>::_M_max_size() const
  0.00      0.42     0.00      245     0.00     0.00  std::_Deque_iterator<unsigned int, unsigned int&, unsigned int*>::operator+=(long)
  0.00      0.42     0.00      238     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<unsigned int, unsigned int>*, std::vector<std::pair<unsigned int, unsigned int>, std::allocator<std::pair<unsigned int, unsigned int> > > >::operator->() const
  0.00      0.42     0.00      213     0.00     0.00  unsigned int* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<unsigned int>(unsigned int const*, unsigned int const*, unsigned int*)
